Year,Month,Model_Name,Models_Created,Algorithm_Type,Data_Size_GB,Training_Time_Hours,Accuracy,Precision,Recall,F1_Score,Validation_Split,Epochs,Batch_Size,Optimizer,Investment_Million_USD,Public_Acceptance,Investment_in_Billion_USD,Public_Acceptance_Percentage,Number_of_Employees,Tech_Advancements,Industry_Adoption,Regulatory_Environment,Public_Awareness
2016,12,Model_17,3.0,Reinforcement,184.9529407546214,90.04704073212893,0.9505685246055692,0.8860633333031914,1.0,0.5965791150907008,0.21,498,128.0,RMSprop,3309.281942898406,0.68,3.309281942898406,59.29676956883402,2,Low,Moderate,Strict,Moderate
2013,3,Model_84,2.0,Unsupervised,274.8126817041746,31.4752992313437,1.0,0.6770182300478695,0.7651436436602999,0.7485555291495702,0.21,292,128.0,Adamax,274.5834547012016,0.46,0.2745834547012015,80.29856440862255,0,High,High,Moderate,High
2022,8,Model_44,5.0,Reinforcement,485.9294874726232,95.75200211987939,0.5686542163128809,0.7258793412977415,1.0,0.9404102562264779,0.13,24,128.0,RMSprop,97983.22232272603,0.97,97.98322232272602,65.10215841291635,31,High,Low,Strict,High
2020,4,Model_41,4.0,Unsupervised,574.3598465037151,70.23725176085216,0.7168175533806016,0.8074481922132317,0.511719076295544,0.8665196054638529,0.29,485,32.0,RMSprop,95434.63505676729,0.81,95.43463505676729,45.48984822406768,25,High,Low,Very Strict,High
2017,6,Model_15,5.0,Unsupervised,428.3786622711132,94.27013847880545,0.6727777995426429,0.643515392417641,0.3906984727510273,0.7555816753867465,0.21,350,32.0,RMSprop,1330.133112307406,0.66,1.330133112307406,49.82069758148899,1,Low,Moderate,Very Strict,Moderate
2022,10,Model_44,6.0,Reinforcement,314.9184395419645,42.14975021769364,0.9129915355187985,0.919364201322496,0.8010983938341149,0.4584446641107912,0.25,233,512.0,Adam,45845.47813126929,0.93,45.8454781312693,52.27138945266752,21,High,Low,Strict,High
2014,6,Model_58,4.0,Unsupervised,141.3167550627072,7.802944093531012,0.7861009794135538,0.8772228530074042,0.986444064091909,0.780025555749404,0.26,184,64.0,RMSprop,992.55579323588,0.73,0.99255579323588,41.3800883944859,0,Low,Low,Very Strict,Low
2016,3,Model_86,5.0,Reinforcement,239.3880143469229,21.58763835152098,0.7000656642707405,0.7725030598078162,0.5686699877792423,0.8330928850501804,0.21,271,32.0,Adam,9660.047407739921,0.64,9.66004740773992,91.57380545304709,3,High,High,Flexible,High
2019,5,Model_50,4.0,Supervised,458.4096607625008,43.35399736165531,0.5932541569037578,0.5475439101724562,0.8105470936268041,0.8724504114827265,0.17,326,64.0,Adamax,69622.91147844685,0.81,69.62291147844685,69.16678748864562,19,High,Low,Strict,High
2012,12,Model_52,8.0,Unsupervised,668.8062445635757,27.25899646636157,1.0,0.5943435628064835,0.7226439535574666,0.7586342569952914,0.21,27,256.0,SGD,952.8231143224468,0.5,0.9528231143224468,71.90940725210122,0,High,Low,Moderate,High
